Arquivo,Vulnerabilidade,Linha
etherpot_lotto.sol,UNCHECKED_LL_CALLS,140
BECToken.sol,ARITHMETIC,263
simple_dao.sol,REENTRANCY,18
rubixi.sol,ACCESS_CONTROL,22
mishandled.sol,UNCHECKED_LL_CALLS,13
0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,UNCHECKED_LL_CALLS,149
reentrance.sol,REENTRANCY,23
insecure_transfer.sol,ARITHMETIC,17
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,UNCHECKED_LL_CALLS,200
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,UNCHECKED_LL_CALLS,212
multiowned_vulnerable.sol,ACCESS_CONTROL,37
timed_crowdsale.sol,TIME_MANIPULATION,12
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,REENTRANCY,51
spank_chain_payment.sol,REENTRANCY,425
spank_chain_payment.sol,REENTRANCY,429
roulette.sol,TIME_MANIPULATION,17
roulette.sol,TIME_MANIPULATION,19
0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol,UNCHECKED_LL_CALLS,43
integer_overflow_multitx_onefunc_feasible.sol,ARITHMETIC,21
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,REENTRANCY,40
0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,UNCHECKED_LL_CALLS,197
0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,UNCHECKED_LL_CALLS,209
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,REENTRANCY,62
reentrancy_simple.sol,REENTRANCY,23
governmental_survey.sol,TIME_MANIPULATION,26
0xa1fceeff3acc57d257b917e30c4df661401d6431.sol,UNCHECKED_LL_CALLS,30
timelock.sol,ARITHMETIC,21
etherbank.sol,REENTRANCY,20
smart_billions.sol,BAD_RANDOMNESS,522
smart_billions.sol,BAD_RANDOMNESS,559
smart_billions.sol,BAD_RANDOMNESS,699
smart_billions.sol,BAD_RANDOMNESS,701
smart_billions.sol,BAD_RANDOMNESS,703
smart_billions.sol,BAD_RANDOMNESS,705
smart_billions.sol,BAD_RANDOMNESS,707
smart_billions.sol,BAD_RANDOMNESS,709
smart_billions.sol,BAD_RANDOMNESS,711
smart_billions.sol,BAD_RANDOMNESS,713
smart_billions.sol,BAD_RANDOMNESS,715
smart_billions.sol,BAD_RANDOMNESS,717
0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,UNCHECKED_LL_CALLS,28
simple_suicide.sol,ACCESS_CONTROL,11
FibonacciBalance.sol,ACCESS_CONTROL,30
FibonacciBalance.sol,ACCESS_CONTROL,37
0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,REENTRANCY,28
guess_the_random_number.sol,BAD_RANDOMNESS,14
lottery.sol,BAD_RANDOMNESS,37
lottery.sol,BAD_RANDOMNESS,41
list_dos.sol,DENIAL_OF_SERVICE,45
list_dos.sol,DENIAL_OF_SERVICE,47
integer_overflow_mul.sol,ARITHMETIC,16
reentrancy_dao.sol,REENTRANCY,17
eth_tx_order_dependence_minimal.sol,FRONT_RUNNING,22
eth_tx_order_dependence_minimal.sol,FRONT_RUNNING,30
auction.sol,DENIAL_OF_SERVICE,22
0x8c7777c45481dba411450c228cb692ac3d550344.sol,REENTRANCY,40
overflow_simple_add.sol,ARITHMETIC,13
parity_wallet_bug_2.sol,ACCESS_CONTROL,225
parity_wallet_bug_2.sol,ACCESS_CONTROL,232
etheraffle.sol,BAD_RANDOMNESS,48
etheraffle.sol,BAD_RANDOMNESS,98
etheraffle.sol,BAD_RANDOMNESS,100
etheraffle.sol,BAD_RANDOMNESS,102
etheraffle.sol,BAD_RANDOMNESS,113
etheraffle.sol,BAD_RANDOMNESS,157
0xf2570186500a46986f3139f65afedc2afe4f445d.sol,UNCHECKED_LL_CALLS,17
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,UNCHECKED_LL_CALLS,44
mapping_write.sol,ACCESS_CONTROL,19
integer_overflow_1.sol,ARITHMETIC,13
0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,UNCHECKED_LL_CALLS,24
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,REENTRANCY,37
wallet_04_confused_sign.sol,ACCESS_CONTROL,29
send_loop.sol,DENIAL_OF_SERVICE,23
0xe894d54dca59cb53fe9cbc5155093605c7068220.sol,UNCHECKED_LL_CALLS,16
wallet_02_refund_nosub.sol,ACCESS_CONTROL,35
0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,UNCHECKED_LL_CALLS,26
integer_overflow_mapping_sym_1.sol,ARITHMETIC,15
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,REENTRANCY,53
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,REENTRANCY,53
FindThisHash.sol,FRONT_RUNNING,16
integer_overflow_multitx_multifunc_feasible.sol,ARITHMETIC,24
dos_address.sol,DENIAL_OF_SERVICE,15
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,REENTRANCY,28
lottopollo.sol,TIME MANIPULATION,12
lottopollo.sol,TIME MANIPULATION,26
phishable.sol,ACCESS_CONTROL,19
short_address_example.sol,SHORT_ADDRESSES,17
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,REENTRANCY,93
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,REENTRANCY,28
reentrancy_insecure.sol,REENTRANCY,16
0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol,UNCHECKED_LL_CALLS,13
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,UNCHECKED_LL_CALLS,55
0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol,UNCHECKED_LL_CALLS,43
0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,UNCHECKED_LL_CALLS,32
0x4051334adc52057aca763453820cb0e045076ef3.sol,UNCHECKED_LL_CALLS,15
0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol,UNCHECKED_LL_CALLS,13
modifier_reentrancy.sol,REENTRANCY,14
dos_simple.sol,DENIAL_OF_SERVICE,16
0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,UNCHECKED_LL_CALLS,32
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,UNCHECKED_LL_CALLS,161
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,UNCHECKED_LL_CALLS,174
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,UNCHECKED_LL_CALLS,179
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,UNCHECKED_LL_CALLS,191
old_blockhash.sol,BAD_RANDOMNESS,34
integer_overflow_benign_1.sol,ARITHMETIC,16
overflow_single_tx.sol,ARITHMETIC,17
overflow_single_tx.sol,ARITHMETIC,23
overflow_single_tx.sol,ARITHMETIC,29
overflow_single_tx.sol,ARITHMETIC,35
overflow_single_tx.sol,ARITHMETIC,41
overflow_single_tx.sol,ARITHMETIC,47
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,UNCHECKED_LL_CALLS,438
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,UNCHECKED_LL_CALLS,464
integer_overflow_add.sol,ARITHMETIC,16
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,REENTRANCY,37
incorrect_constructor_name2.sol,ACCESS_CONTROL,17
incorrect_constructor_name3.sol,ACCESS_CONTROL,16
0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol,UNCHECKED_LL_CALLS,38
proxy.sol,ACCESS_CONTROL,18
0x663e4229142a27f00bafb5d087e1e730648314c3.sol,UNCHECKED_LL_CALLS,1151
0x663e4229142a27f00bafb5d087e1e730648314c3.sol,UNCHECKED_LL_CALLS,1495
0x663e4229142a27f00bafb5d087e1e730648314c3.sol,UNCHECKED_LL_CALLS,2466
reentrancy_cross_function.sol,REENTRANCY,23
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,REENTRANCY,28
unprotected0.sol,ACCESS_CONTROL,24
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,REENTRANCY,53
incorrect_constructor_name1.sol,ACCESS_CONTROL,19
0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,UNCHECKED_LL_CALLS,13
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,REENTRANCY,43
wallet_03_wrong_constructor.sol,ACCESS_CONTROL,18
lucky_doubler.sol,BAD_RANDOMNESS,126
etherstore.sol,REENTRANCY,26
0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,UNCHECKED_LL_CALLS,99
0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,UNCHECKED_LL_CALLS,105
0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,UNCHECKED_LL_CALLS,132
random_number_generator.sol,BAD_RANDOMNESS,11
random_number_generator.sol,BAD_RANDOMNESS,17
random_number_generator.sol,BAD_RANDOMNESS,19
random_number_generator.sol,BAD_RANDOMNESS,21
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,REENTRANCY,54
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,REENTRANCY,39
0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,UNCHECKED_LL_CALLS,44
ether_lotto.sol,TIME_MANIPULATION,42
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,UNCHECKED_LL_CALLS,11
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,UNCHECKED_LL_CALLS,68
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,UNCHECKED_LL_CALLS,70
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,UNCHECKED_LL_CALLS,72
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,UNCHECKED_LL_CALLS,74
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,UNCHECKED_LL_CALLS,101
0x524960d55174d912768678d8c606b4d50b79d7b1.sol,UNCHECKED_LL_CALLS,20
token.sol,ARITHMETIC,19
token.sol,ARITHMETIC,21
odds_and_evens.sol,FRONT_RUNNING,24
odds_and_evens.sol,FRONT_RUNNING,27
reentrancy_bonus.sol,REENTRANCY,27
